62375905|14856525|FR
72544836|3202226|FR
17000056|212544185|DE
3135565|24608721|FR
45450161|243726213|MX
3130050|82612421|FR
4180390|132818751|FR
61411548|299551365|FR
55015261|184142641|GB
4625288|278350795|FR
64920076|15169524|FR
580332|21183135|FR
67795283|184142641|GB
69409642|272508675|TR
7645395|316930525|GB
5183420|210777715|FR
4638780|16222589|FR
17388188|1538919|FR
14477354|149299941|FR
65444691|2705385|FR
61354764|14678616|FR
14904755|732155|FR
70331834|6499198|FR
65800619|350589485|FR
70128163|105058371|FR
68243307|18426332|FR
71093917|877002|FR
3088312|281709715|FR
959903|666720|FR
7857249|327854825|FR
66314771|10556187|FR
70253961|4964508|FR
2255306|145902751|GB
11272703|17220094|FR
1051843|107874911|BE
72114485|360148065|FR
62590880|330742071|FR
70697369|4964508|FR
64468339|8728008|FR
60680301|349349275|DE
71129381|340013971|FR
38513151|74715121|FR
688557|283801785|GB
869660|480709|FR
3787855|28084611|FR
609244|330456617|MX
1108061|87871621|FR
71099209|148974783|BR
13837551|21314900|PL
2863448|14678616|FR
65247383|109579621|FR
922138|220393965|HU
64848628|280595625|NL
64022584|56097161|FR
1100006|8846518|FR
70785268|6499198|FR
66899969|244944233|CO
15596497|307417893|BR
20332191|306994723|MX
2248430|19867989|FR
70403437|378537484|AU
72160317|211798275|FR
69197833|17411193|FR
68350109|33582661|FR
660803|17034772|FR
67814849|271257145|GB
678584|302463143|CO
60939597|302463143|CO
62587342|358875283|BR
3825459|354880425|GB
17484725|291256985|FR
40514781|345742975|FR
16894835|238471685|FR
967866|314590283|MX
62847142|348258915|FR
55987341|345742975|FR
65326408|351677443|BR
7545957|4748877|FR
10427215|320781793|CL
856915|76147231|MX
62418537|18552195|FR
62847148|148974783|BR
72717413|3867702|FR
14299593|280595625|NL
29367581|117158421|FR
69276896|18426332|FR
13430733|228393585|FR
71645436|14855772|FR
17842339|10538041|FR
1346757|392105417|MX
72793839|280595625|NL
14299588|143821411|FR
67488332|8319512|FR
3571232|325774955|FR
60946207|69990401|FR
71967077|100010781|FR
16166977|341548807|CO
71137166|361390175|FR
15781396|219864775|FR
70801203|4574368|FR
67754234|2193150|FR
71292232|3017180|FR
817017|320805883|MX
14178822|11732181|FR
73025868|89586161|FR
923949|62418091|PL
72059817|128633771|GB
72531796|390169587|BR
67782076|354663945|GB
72160402|4592306|FR
54428401|11732181|FR
13074093|213226213|AR
17680796|320805883|MX
70059192|308821895|FR
1574131|56148061|FR
70224023|345742975|FR
71645446|401321797|GT
4640058|354663945|GB
72096627|295113525|FR
66967086|202200315|FR
7084862|192444415|FR
55987341|345742975|FR
65393477|368062735|FR
14155083|338524511|RU
69879255|416984391|FR
66895610|100403231|FR
4261602|345742975|FR
67520180|305592833|BR
73682281|6499198|FR
16977883|56788491|GB
6278857|97209771|FR
11744016|1438071|FR
3089712|315928915|FR
70785259|387033185|FR
25746431|401240127|CO
9889193|200195535|FR
627322|8846518|FR
44231001|21252509|FR
11272661|307594255|GA
66315763|17556126|TH
63094580|307594255|GA
4733111|108671631|FR
12244739|14582385|FR
5786419|9181099|FR
72677577|237232325|FR
71078385|99851061|FR
61424047|8294979|FR
3959943|271257145|GB
6855417|11437792|FR
73940454|342615765|FR
671270|277344885|DE
3226776|314590283|MX
8164629|300605063|BR
72059806|108787281|FR
17135122|5648132|FR
69879249|184987381|FR
7720910|314590283|MX
7720921|314590283|MX
557625|153718863|CO
66242529|407729263|BR
8086136|401842085|FR
36002651|401842085|FR
4261602|345742975|FR
68144829|248713885|FR
3119072|342898125|FR
58241681|56148061|FR
13261967|285330963|MX
71966847|5547959|FR
7239862|231083245|FR
62724019|273443635|GB
69106336|64378031|FR
14142394|10141366|FR
65120948|11843283|FR
61142284|307729095|GB
42541601|6006437|FR
576425|18925958|FR
72839298|163732921|TR
1173622|378714145|FR
5913587|3444122|FR
64346874|25538151|FR
5974907|48025331|FR
61424044|296575385|DE
65236033|282469143|CL
72573852|5006389|FR
68016602|18426332|FR
68963841|56148061|FR
69022740|24440651|FR
60847054|296575385|DE
2279378|307729095|GB
57119461|354805605|FR
7374408|291044605|FR
4848220|35001551|FR
5797407|4748877|FR
17650806|400566767|GT
32130641|405169827|BR
67954791|280595625|NL
67241985|280663213|MX
886648|202200315|FR
64443626|204446785|FR
8086132|289654205|FR
71078033|116246323|GT
918304|2361327|FR
72103881|348960003|MX
70509386|412609313|HN
4636694|396221787|MX
5104845|16445067|FR
3747691|12235919|FR
3155053|244608785|GB
3091903|366394335|FR
7444701|12755768|FR
73463572|11325735|FR
69879250|6741592|FR
3576782|11732181|FR
935732|10790871|CH
2803677|11930638|FR
62508658|20485737|FR
69361786|242190533|BR
56892231|286996213|BR
13975778|216011063|CO
2179940|342898125|FR
12210089|12977968|FR
63017512|140419953|FR
552383|12598029|NL
66245082|392579067|CO
9836224|342898125|FR
60200391|413513123|PH
5797375|4748877|FR
72717423|77275011|FR
71528857|150500541|FR
6430835|295512615|FR
7437788|12598029|NL
72946796|31296491|FR
73893297|419759283|BR
67959180|312552965|GB
4193723|17432055|FR
73572259|345804913|MX
71225665|16623932|FR
11234005|280595625|NL
72717420|21483532|FR
315613|755334|FR
72371358|398495545|FR
70920916|144368143|PY
61364373|17229190|FR
64604257|16513960|CH
63472102|15111728|FR
64744757|365932123|GT
70266759|298317595|FR
3599383|75331071|FR
1125077|51180871|FR
69348733|16861509|FR
7600176|157689351|GB
72059804|4448822|FR
12258545|4346312|FR
61932465|17229190|FR
1716553|351491943|MX
62874022|150500541|FR
72417244|12094774|FR
536481|16213482|FR
63519535|105707191|RO
58496101|393485117|GT
72653353|233702725|FR
16631595|244742095|GB
70403440|388366395|FR
67535301|17084289|FR
12792148|18237147|FR
61424056|229022305|GB
64897361|112482933|BO
63615667|403540725|GB
72717414|11728703|FR
71734900|387552825|GB
69205726|248713885|FR
13651728|18134902|FR
64920065|18017520|FR
1039567|265479175|GB
67238733|365038605|FR
1039565|265479175|GB
73064039|310626405|FR
68936071|295971375|GB
1123901|307417893|BR
61572568|111623713|SV
72677111|280595625|NL
4224616|232211313|MX
62072075|170697523|MX
70748963|308698385|AT
13129754|38765801|NZ
70024839|328877557|BR
565657|1159796|FR
35793411|264558185|NL
870068|307729095|GB
14919038|413471133|CO
73559293|16623932|FR
2231303|63371261|FR
3871844|9876093|FR
55015251|8067514|FR
72516638|150500541|FR
70266758|22276367|GB
2952876|4672543|FR
74238885|365669785|GB
71689845|181016593|MX
20137461|409252443|GT
980117|94398761|FR
16130668|432086063|MX
68627157|348931325|FR
71389714|394445317|BR
20156661|414860803|MX
61249612|116340711|FR
46285291|270827695|FR
17346397|4768067|FR
70496810|192444415|FR
4315321|38765801|NZ
574737|17688490|FR
1579606|2495714|FR
3168840|228847375|NL
58782251|348258915|FR
34947401|3202226|FR
64472943|17868784|FR
13795657|100010781|FR
3147539|14988440|FR
61466578|280595625|NL
66609426|303934525|GB
20252631|77864511|MX
7562717|413854911|PL
7509649|18073720|FR
14241305|422586473|CO
66284220|170060703|BR
7667340|166463801|GB
68530336|325915833|BR
13550347|2821497|MX
73741841|4740940|FR
61253925|365214263|MX
554809|3707874|FR
4928683|76250841|DE
934372|21722538|GB
2565200|6487055|FR
39544451|281523803|CA
71530970|337717501|RS
6823161|120149351|BE
72156941|274443215|DE
6944549|153168873|CO
940266|9876093|FR
67929419|15648756|FR
73135389|109620911|FR
13128438|316715133|MX
71129383|11911384|FR
71687848|378380665|GB
71559420|410857943|BR
64729449|19624090|FR
14932631|8320647|FR
1117111|17102528|FR
5638877|15648756|FR
13787100|378644807|CO
7269945|20978640|FR
923329|21045008|FR
66632498|321732133|CL
19271791|205493073|BO
3128097|280595625|NL
70640486|217928045|FR
3119532|1338133|FR
13160064|21779191|GB
3011902|392005767|BO
962165|19772856|FR
948137|13339655|FR
954107|184984141|GB
70079414|260994165|GB
62437839|10290331|FR
69533953|93870981|FR
70553170|260994165|GB
15610742|415160001|DE
26614731|178114473|CO
72151869|248975713|MX
17546638|417121393|GT
46226371|2007582|FR
15261291|205493073|BO
614661|72144391|FR
70640486|412098511|FR
5797408|4748877|FR
7545957|4748877|FR
1680882|381092617|BR
69475875|16298172|FR
680518|110089401|FR
62533975|12612387|FR
12601820|205134923|CO
73229125|392508887|BR
70386436|161273163|GT
14299345|400248407|GT
60906320|341493677|CL
65734472|145181731|FR
67549188|294746895|NL
1175815|20476688|FR
67935854|337569721|GB
68016602|103498251|BE
1565537|213603955|GB
4308905|263822365|FR
789250|205910615|GB
64299930|214443045|MX
2485007|31836201|GB
2812311|16623932|FR
60888512|73210351|FR
1085729|9128183|FR
3129180|418245011|FR
17418183|347058663|MX
11119773|416088291|FR
9992350|56767581|FR
72059773|1096564|FR
61108947|419761271|GB
68646246|3699004|FR
7868655|140623801|AT
70801203|410332651|FR
71898436|380194317|MX
16488815|251367993|CL
12441110|409218603|GT
70337841|8910659|FR
12210088|11648652|FR
70097901|14665892|FR
2715753|265889|FR
72717426|378821005|FR
226470|345742975|FR
